account,Rewards,combined_points,badge_17_tier,badge_17_points,badge_22_tier,badge_22_points,badge_26_tier,badge_26_points,pp_level
0xe7c65471e21e59486c7913c6d2188c6f6d0ca5fa,200,360,,0,5,300,2,60,3
0xec4ba6fe46b8dfe6609073ab3dc25eda3fa04acd,200,360,,0,5,300,2,60,4
0x4ef7b3fc665804eeaef8211f79bf9bc558e60726,200,360,,0,5,300,2,60,4
0x53962f08cc10a83c9c1814d191c0093f95aca0b6,200,360,,0,5,300,2,60,4
0xca89ff5c8e80e57cc8a8dc6ecad2805c56db064d,200,360,,0,5,300,2,60,4
0x6af2c916c342a109db29ded88f684a675f73b78a,200,360,,0,5,300,2,60,4
0x06b87fe6840ce1bac499f9d53510e1a307d11056,200,360,,0,5,300,2,60,3
0x747f709305042bec4533902703f892d4b2759c88,200,360,,0,5,300,2,60,3
0xf0b2f9021100a5d3a205a6a54311f4575d566b53,200,360,,0,5,300,2,60,3
0x5fe3a24a5553439fc8b9162d331029a52862ccab,200,360,,0,5,300,2,60,3
0xe2ff1f3588cc0b500fd2db75205a3bc0bc0c13f8,200,360,,0,5,300,2,60,3
0xfc1a75fe884e797bae9292bd3af10e1be6237c59,200,360,,0,5,300,2,60,3
0x531d7c2147bdc3ac44b71487f8c2fb14ac7c1888,200,360,,0,5,300,2,60,4
0x62a2b9834a948a5f3b10e19baa84f2bf1c3eb65b,200,360,,0,5,300,2,60,3
0x8d9ac80da7c1d9fca5d9823f9b8d712f3e570f60,200,360,,0,5,300,2,60,4
0x27e01faf5d5b318cd225938cd42767152171e691,200,360,,0,5,300,2,60,4
0x1cf878de60fa0843cab6a55e05884c7226d4992e,200,360,,0,5,300,2,60,4
0x4c703a0f3f01e4aaae40992cc3a7463478f4539f,200,360,,0,5,300,2,60,4
0x6fb6f6a287e348968d6692e95ba555148269bfdf,200,360,,0,5,300,2,60,4
0x5c392f110cb6697f101db7bb8118de53cc07db62,200,360,,0,5,300,2,60,3
0xae703323d5cc7b790b4f0d586e4515ace9deeaa3,200,360,,0,5,300,2,60,4
0xc96497c236cbe0b4712caa6ca590eddd09169f68,200,360,,0,5,300,2,60,4
0x6f321ac21c917a4a85b3721315ff9c99da334af6,200,360,,0,5,300,2,60,4
0x6770abc26ecbc4bbe29f6402dd0d833fc40c7160,200,360,,0,5,300,2,60,4
0xaee81d69b45bb5e011f3fb86843cda70beec62df,200,360,,0,5,300,2,60,3
0x2ab91dc857c07aefe33877b9ba0c2ce28e59a41d,200,360,,0,5,300,2,60,4
0xe916da7a801c950bdf478a11cf6edcd2db2eda3a,200,360,,0,5,300,2,60,5
0xd8a95036909145c026e884ec549e7fc01590b971,200,360,,0,5,300,2,60,4
0x5c3469e7ecb4b3f895f64f6b496e0fda5217a1d3,200,340,1,200,1,20,3,120,3
0xba54764cc17fd769921d16ac7403f05b98f661f5,200,340,1,200,1,20,3,120,3
0xe890aa8e86123ab2f39a05c8c5c4de4468266ae1,200,340,1,200,3,120,1,20,3
0xe9908ffd6bafeadc0e86aaf17933d2383862fd58,200,340,1,200,3,120,1,20,3
0xeb882da0c1a4acdf210d150a9ab3e4d420009ae2,200,320,1,200,3,120,,0,3
0xd514c985a1729a1125f9981135ef41ce08c8811d,200,320,,0,4,200,3,120,4
0xe1d50d218701661af1c4a4444ee484c94f8c32a0,200,320,1,200,3,120,,0,3
0x155b63314444c7edc995a74dbc740bbc0a71742d,200,320,1,200,3,120,,0,3
0xd465723d5bf3496942716064bd5411a501d03555,200,320,1,200,3,120,,0,3
0x30e4220aff5e5ddde8dd39fa4cf23674d24e9d20,200,320,,0,5,300,1,20,4
0xda0b949421033050113477ccf631d7dcb6f91760,200,320,,0,4,200,3,120,4
0x32cdcd53e86d3db5fd234ab1dcb02d523b80391b,200,320,1,200,3,120,,0,3
0xdba0bbcdad477de2df522523ec9e9a76dd77bbd5,200,320,,0,4,200,3,120,3
0x82a798b18a00a855ea8df484565410c292e12c45,200,320,1,200,3,120,,0,4
0xd5b22dc2bf49b57efc25bb3d21b579a3567df309,200,320,1,200,3,120,,0,3
0x7d2210fccda276a9a366612468a4afbe2f5e6313,200,320,,0,4,200,3,120,3
0x8e1bae80ece479c9cac576415446e109b7c8b11f,200,320,,0,5,300,1,20,3
0x2088499be57424df0f8bb95b9525932a25f4e51e,200,320,,0,4,200,3,120,3
0x1b0e25ffdf220439e2d03afe83d173a904c95978,200,320,1,200,3,120,,0,3
0x91223495f2fe666d3931e415fbc78538add68338,200,320,,0,5,300,1,20,3
0xce4e9c367bdeaa88673953c682f6a5a4afbadfc6,200,320,1,200,3,120,,0,3
0xf0b41c197aee696a0448a38c94525257807e103c,200,320,1,200,3,120,,0,3
0x7174b158953da73cab42d7750f1178119f8ccd3d,200,320,,0,5,300,1,20,4
0x16f86892f9b5ed4d4b5f7ac2062d664c0da7e9c2,200,320,1,200,3,120,,0,3
0x5c60bfd5f997b03572951bb6d555255144080e5c,200,320,1,200,2,60,2,60,3
0xacd8a1badcc0e8de27278b6c3aa11992b529897d,200,320,,0,5,300,1,20,3
0x84cc931515251ff8645d0fe2e25ea4ce25e744a4,200,320,1,200,3,120,,0,3
0x16b784acdfb53e5bcb99dc624cddeeec5798c33b,200,320,,0,5,300,1,20,3
0xfe3ff974e5279ec655d8f5aab8ee86f58786ae4d,200,320,1,200,3,120,,0,3
0xb0c95724491ce3ba664baa3e1cd0418eb7ceabec,200,320,1,200,3,120,,0,3
0x33cb44c84ed543e3a5266d9cac7ec7fdeb2eb7f1,200,320,,0,1,20,5,300,3
0x452caa5ab86bf96e414ee1793b9dd2540f5616d5,200,320,,0,5,300,1,20,3
0x878359447250c27bafccda94d6a55796e16308fb,200,320,1,200,3,120,,0,3
0x062b1f9976e14053e82a7d8d298b881d3fe09286,200,320,,0,5,300,1,20,4
0x3e0f98de59620e4127fca051da76f7ab0299c9ea,200,320,,0,5,300,1,20,4
0x6bd421c8bedd999f9969aa2cc7beea1e9c9a3a70,200,300,,0,5,300,,0,3
0xca99ba7a758e18fa63373763ef360a07aaf7fa12,200,300,,0,5,300,,0,3
0x2295118e287024f07698e409c4975ee3374a905b,200,300,,0,5,300,,0,3
0x0735180a27c7cac9158b2d90277333a1ba6f0d1f,200,300,,0,5,300,,0,3
0x7e4575093adb87fe4ed1e5dc024e00a2fdbe3533,200,300,,0,5,300,,0,3
0xff3a86797aa738eff9abbd999c5957dd1ccb2e6b,200,300,,0,5,300,,0,0
0x646e1cb4a79ebf64065ef0a6c6131904a6c5062f,200,300,,0,5,300,,0,3
0xa605c873ef84b8f33f10cf775661b8725bf7a1df,200,300,,0,5,300,,0,3
0x4bb9dc6db3780436467fa147781ee5a51b32fd85,200,300,,0,5,300,,0,3
0x3c0e4b7a0ed80e535e52128507ce6c6dd35cef61,200,300,,0,5,300,,0,4
